number,value,datetime_start,datetime_complete,duration,params_crossover_rate,params_elite_count,params_mutation_rate,params_pop_size,params_tournament_size,state
54,6819.88882298641,2025-06-11 01:06:21.422938,2025-06-11 01:06:31.305402,0 days 00:00:09.882464,0.8,4,0.11,50,4,COMPLETE
55,6771.378305691619,2025-06-11 01:06:31.305796,2025-06-11 01:06:41.169747,0 days 00:00:09.863951,1.0,59,0.11,400,2,COMPLETE
56,6697.027326551358,2025-06-11 01:06:41.170246,2025-06-11 01:06:51.448461,0 days 00:00:10.278215,0.9,29,0.11,200,8,COMPLETE
57,6712.113240713258,2025-06-11 01:06:51.448796,2025-06-11 01:07:01.858704,0 days 00:00:10.409908,0.7,13,0.11,100,3,COMPLETE
58,6668.201289341897,2025-06-11 01:07:01.859147,2025-06-11 01:07:12.059749,0 days 00:00:10.200602,1.0,16,0.11,400,4,COMPLETE
59,6827.199553888582,2025-06-11 01:07:12.060127,2025-06-11 01:07:22.016765,0 days 00:00:09.956638,0.9,6,0.11,50,2,COMPLETE
60,6881.789928243709,2025-06-11 01:07:22.017151,2025-06-11 01:07:31.737470,0 days 00:00:09.720319,0.7,38,0.11,400,5,COMPLETE
61,6820.383715036379,2025-06-11 01:07:31.737968,2025-06-11 01:07:41.018900,0 days 00:00:09.280932,0.9,52,0.11,400,3,COMPLETE
62,6648.752879415624,2025-06-11 01:07:41.019319,2025-06-11 01:07:50.930373,0 days 00:00:09.911054,0.9,55,0.11,400,3,COMPLETE
63,6789.761786679544,2025-06-11 01:07:50.930813,2025-06-11 01:08:00.363748,0 days 00:00:09.432935,0.8,58,0.11,400,3,COMPLETE
64,6659.987811763499,2025-06-11 01:08:00.364369,2025-06-11 01:08:09.995797,0 days 00:00:09.631428,0.9,49,0.11,400,2,COMPLETE
65,6733.892553401849,2025-06-11 01:08:09.996129,2025-06-11 01:08:19.699525,0 days 00:00:09.703396,1.0,54,0.11,400,4,COMPLETE
66,6933.396331271651,2025-06-11 01:08:19.699889,2025-06-11 01:08:30.072411,0 days 00:00:10.372522,0.9,20,0.11,200,3,COMPLETE
67,6774.524787481573,2025-06-11 01:08:30.072791,2025-06-11 01:08:39.816261,0 days 00:00:09.743470,0.8,16,0.11,400,2,COMPLETE
68,6778.819395283946,2025-06-11 01:08:39.816604,2025-06-11 01:08:49.533227,0 days 00:00:09.716623,1.0,24,0.11,400,3,COMPLETE
69,6689.620266777895,2025-06-11 01:08:49.533709,2025-06-11 01:08:59.642543,0 days 00:00:10.108834,0.9,50,0.01,400,6,COMPLETE
70,6828.35742401841,2025-06-11 01:08:59.642908,2025-06-11 01:09:09.161398,0 days 00:00:09.518490,0.7,53,0.11,400,2,COMPLETE
71,6761.4286637584255,2025-06-11 01:09:09.161845,2025-06-11 01:09:18.448768,0 days 00:00:09.286923,0.9,55,0.11,400,3,COMPLETE
72,6678.990941051321,2025-06-11 01:09:18.449132,2025-06-11 01:09:27.924479,0 days 00:00:09.475347,0.9,58,0.11,400,3,COMPLETE
73,6732.842532337013,2025-06-11 01:09:27.924841,2025-06-11 01:09:37.223542,0 days 00:00:09.298701,0.9,46,0.11,400,4,COMPLETE
74,6726.154088863938,2025-06-11 01:09:37.224099,2025-06-11 01:09:47.003067,0 days 00:00:09.778968,0.8,54,0.11,400,4,COMPLETE
75,6769.247906726431,2025-06-11 01:09:47.003428,2025-06-11 01:09:57.304493,0 days 00:00:10.301065,1.0,11,0.11,100,3,COMPLETE
76,6763.366375609675,2025-06-11 01:09:57.305020,2025-06-11 01:10:07.303743,0 days 00:00:09.998723,0.9,60,0.11,400,2,COMPLETE
77,6908.52792751434,2025-06-11 01:10:07.304209,2025-06-11 01:10:17.427607,0 days 00:00:10.123398,1.0,5,0.11,50,3,COMPLETE
78,6580.087050474652,2025-06-11 01:10:17.428073,2025-06-11 01:10:26.884386,0 days 00:00:09.456313,0.9,57,0.11,400,3,COMPLETE
79,6865.193905219698,2025-06-11 01:10:26.884748,2025-06-11 01:10:35.922490,0 days 00:00:09.037742,0.6,18,0.11,200,2,COMPLETE
80,6716.291318053171,2025-06-11 01:10:35.922849,2025-06-11 01:10:45.495064,0 days 00:00:09.572215,0.8,56,0.11,400,3,COMPLETE
81,6776.896300841171,2025-06-11 01:10:45.495462,2025-06-11 01:10:54.895596,0 days 00:00:09.400134,0.9,52,0.11,400,3,COMPLETE
82,6860.247118737617,2025-06-11 01:10:54.895924,2025-06-11 01:11:04.672147,0 days 00:00:09.776223,0.9,57,0.11,400,4,COMPLETE
83,6683.977553485209,2025-06-11 01:11:04.672579,2025-06-11 01:11:14.295741,0 days 00:00:09.623162,0.9,55,0.11,400,3,COMPLETE
84,6684.07793475037,2025-06-11 01:11:14.296167,2025-06-11 01:11:23.967518,0 days 00:00:09.671351,0.9,59,0.11,400,3,COMPLETE
85,6638.522065514335,2025-06-11 01:11:23.967893,2025-06-11 01:11:33.896723,0 days 00:00:09.928830,1.0,48,0.11,400,2,COMPLETE
86,6746.859798978039,2025-06-11 01:11:33.897055,2025-06-11 01:11:43.592236,0 days 00:00:09.695181,1.0,50,0.11,400,2,COMPLETE
87,6852.364906387137,2025-06-11 01:11:43.592644,2025-06-11 01:11:53.146258,0 days 00:00:09.553614,1.0,37,0.11,400,2,COMPLETE
88,6806.424994670073,2025-06-11 01:11:53.146666,2025-06-11 01:12:02.459576,0 days 00:00:09.312910,1.0,6,0.11,50,2,COMPLETE
89,6723.0157461545605,2025-06-11 01:12:02.459931,2025-06-11 01:12:12.140871,0 days 00:00:09.680940,1.0,43,0.11,400,2,COMPLETE
90,6760.713179501196,2025-06-11 01:12:12.141273,2025-06-11 01:12:21.578916,0 days 00:00:09.437643,1.0,7,0.11,100,8,COMPLETE
91,6738.096010499391,2025-06-11 01:12:21.579337,2025-06-11 01:12:30.943181,0 days 00:00:09.363844,0.9,53,0.11,400,3,COMPLETE
92,6672.914932847048,2025-06-11 01:12:30.943540,2025-06-11 01:12:40.948184,0 days 00:00:10.004644,0.9,57,0.11,400,3,COMPLETE
93,6852.6309392096255,2025-06-11 01:12:40.948544,2025-06-11 01:12:50.519976,0 days 00:00:09.571432,0.9,48,0.11,400,7,COMPLETE
94,6644.14483563128,2025-06-11 01:12:50.520465,2025-06-11 01:13:00.422909,0 days 00:00:09.902444,1.0,59,0.11,400,4,COMPLETE
95,6705.859163502847,2025-06-11 01:13:00.423362,2025-06-11 01:13:10.347859,0 days 00:00:09.924497,1.0,59,0.11,400,4,COMPLETE
96,6700.666347937436,2025-06-11 01:13:10.348294,2025-06-11 01:13:20.344177,0 days 00:00:09.995883,1.0,56,0.11,400,4,COMPLETE
97,7177.430677421803,2025-06-11 01:13:20.344511,2025-06-11 01:13:30.522388,0 days 00:00:10.177877,1.0,3,0.01,50,3,COMPLETE
98,6634.166597528252,2025-06-11 01:13:30.522980,2025-06-11 01:13:39.797888,0 days 00:00:09.274908,1.0,58,0.11,400,2,COMPLETE
99,6807.288322308324,2025-06-11 01:13:39.798363,2025-06-11 01:13:49.442678,0 days 00:00:09.644315,1.0,60,0.11,400,2,COMPLETE
