number,value,datetime_start,datetime_complete,duration,params_ideas_per_cluster,params_n_clusters,params_pop_size,params_remove_rate,state
64,10744.880906708175,2025-06-11 23:07:46.082927,2025-06-11 23:07:54.037408,0 days 00:00:07.954481,5,7,30,0.55,COMPLETE
65,10744.880906708175,2025-06-11 23:07:54.037805,2025-06-11 23:07:59.655618,0 days 00:00:05.617813,1,8,20,0.5,COMPLETE
66,10744.880906708175,2025-06-11 23:07:59.656303,2025-06-11 23:08:02.742898,0 days 00:00:03.086595,4,6,30,0.30000000000000004,COMPLETE
67,10748.647319112162,2025-06-11 23:08:02.743347,2025-06-11 23:08:29.854528,0 days 00:00:27.111181,7,2,50,0.6,COMPLETE
68,10744.880906708175,2025-06-11 23:08:29.854933,2025-06-11 23:08:34.064099,0 days 00:00:04.209166,9,7,20,0.35,COMPLETE
69,10744.880906708175,2025-06-11 23:08:34.064623,2025-06-11 23:08:38.437825,0 days 00:00:04.373202,3,5,30,0.35,COMPLETE
70,10744.880906708175,2025-06-11 23:08:38.438209,2025-06-11 23:09:03.943773,0 days 00:00:25.505564,3,4,50,0.5,COMPLETE
71,10744.880906708175,2025-06-11 23:09:03.944386,2025-06-11 23:09:10.069974,0 days 00:00:06.125588,4,3,20,0.45000000000000007,COMPLETE
72,10744.880906708175,2025-06-11 23:09:10.070403,2025-06-11 23:09:15.119534,0 days 00:00:05.049131,5,4,20,0.5,COMPLETE
73,10744.880906708175,2025-06-11 23:09:15.120159,2025-06-11 23:09:18.889167,0 days 00:00:03.769008,10,5,20,0.4,COMPLETE
74,10744.880906708175,2025-06-11 23:09:18.889582,2025-06-11 23:09:23.233713,0 days 00:00:04.344131,5,4,20,0.55,COMPLETE
75,10744.880906708175,2025-06-11 23:09:23.234181,2025-06-11 23:09:26.146977,0 days 00:00:02.912796,4,5,20,0.30000000000000004,COMPLETE
76,10748.647319112162,2025-06-11 23:09:26.147616,2025-06-11 23:09:28.211611,0 days 00:00:02.063995,1,2,30,0.35,COMPLETE
77,10875.289089573418,2025-06-11 23:09:28.212065,2025-06-11 23:09:33.857343,0 days 00:00:05.645278,3,3,20,0.35,COMPLETE
78,10744.880906708175,2025-06-11 23:09:33.857763,2025-06-11 23:09:38.458380,0 days 00:00:04.600617,2,6,30,0.55,COMPLETE
79,10744.880906708175,2025-06-11 23:09:38.459188,2025-06-11 23:09:56.332175,0 days 00:00:17.872987,4,5,50,0.6,COMPLETE
80,10744.880906708175,2025-06-11 23:09:56.332715,2025-06-11 23:09:59.488311,0 days 00:00:03.155596,6,6,20,0.4,COMPLETE
81,10744.880906708175,2025-06-11 23:09:59.488855,2025-06-11 23:10:04.228755,0 days 00:00:04.739900,7,2,20,0.45000000000000007,COMPLETE
82,10744.880906708175,2025-06-11 23:10:04.229395,2025-06-11 23:10:08.519979,0 days 00:00:04.290584,8,3,20,0.45000000000000007,COMPLETE
83,10748.647319112162,2025-06-11 23:10:08.520625,2025-06-11 23:10:31.392694,0 days 00:00:22.872069,9,2,20,0.45000000000000007,COMPLETE
84,10744.880906708175,2025-06-11 23:10:31.393298,2025-06-11 23:10:38.640604,0 days 00:00:07.247306,5,4,20,0.5,COMPLETE
85,10744.880906708175,2025-06-11 23:10:38.641109,2025-06-11 23:10:41.271034,0 days 00:00:02.629925,6,8,30,0.35,COMPLETE
86,10744.880906708175,2025-06-11 23:10:41.271693,2025-06-11 23:11:10.570261,0 days 00:00:29.298568,10,2,50,0.4,COMPLETE
87,10748.647319112162,2025-06-11 23:11:10.570732,2025-06-11 23:11:23.226880,0 days 00:00:12.656148,1,3,20,0.6,COMPLETE
88,10744.880906708175,2025-06-11 23:11:23.227346,2025-06-11 23:11:28.248862,0 days 00:00:05.021516,3,7,30,0.55,COMPLETE
